names	principal component 1	principal component 2	umap1	umap2	P60709;P63261	P68032	P62805	P10412	Q9H1E3	P06493	P46013
SC_20-25	69.33508028571511	-5.858739425371216	11.43586	9.238819	3.343419494333272	0.06051745728786245	3.4220372656388465	2.9538602421946685	-4.715573240190363	0.35231722134288307	0.12617572618437675
SC_15-20	98.9652629949992	4.364623477692879	10.939267	8.998296	2.989590962817876	-4.715573240190363	3.179890853054075	2.362220392994885	-0.46352796097411125	0.7747063936059981	-0.07184493065395951
SC_25-30	-57.090594241458234	-32.83809469045322	14.550318	9.948015	4.090806823077909	0.22697943257163455	4.569266695554464	3.4639532785400995	-0.6264790151289177	1.4100354300066351	1.065954924505453
SC_20-25	-55.45718211053369	-4.38456165317007	15.297592	11.533289	4.1170983305098385	-1.2093946098838364	4.545058750301937	3.7212091605019157	-1.5050969874314268	1.027001186150334	1.0231661469376396
SC_15-20	70.38266695669311	-15.890291644412375	11.521549	8.620483	3.2143411908896526	1.8036286839322209	3.584451114442881	2.444814208759168	-0.23055576881743953	1.3853537942665144	0.08684298660571288
SC_25-30	15.39835933873258	-0.21528642029394507	13.59726	10.837141	3.1608601527305256	-0.05406370728500505	4.0590421025838	2.7908163841790823	-4.715573240190363	-0.5714701032533024	-4.715573240190363
SC_25-30	-39.16675280999709	10.870005693923563	15.370983	11.5659275	4.116902800703336	1.5250095757852424	4.275514236996369	3.348002067187409	-0.2311620681895006	1.3435924115666384	0.7418940318030908
SC_15-20	33.44302929671575	-14.856342423009712	12.3958435	9.3009	3.5993346996515005	2.4044037473862616	3.612137905123722	2.520998948723313	-0.3570878378176896	1.2273286233673462	-0.4008603161730293
SC_25-30	-68.76513022531786	-5.555773103478289	14.768209	11.420685	4.115603521329514	1.5128363752662208	4.525440019101432	3.8320611752985974	-4.715573240190363	0.9796819793016398	0.7615237910295848
SC_25-30	-17.42206988798554	3.511404890243752	15.644417	10.609745	4.155810146442209	0.5252373487439372	4.451588524783947	3.4421575812903606	-4.715573240190363	1.4815177105653594	0.4330767720513614
SC_20-25	-43.63890892624748	7.657558825576455	15.221373	11.817538	3.921547936010246	1.8250386734084216	4.2248956467925876	3.166131208774226	-0.5050107357408897	1.251275329392647	0.46738599233418504
SC_20-25	-42.99080591479257	-0.7005642184981509	14.074485	10.922541	3.9204278168247355	0.9125232634929722	3.928875147649386	3.2118371413755518	-2.136578776101825	-0.4769322954271136	-4.715573240190363
SC_15-20	104.95076727375773	-11.955496409769674	10.788802	8.833971	3.2157343538757233	1.554557601610728	3.3605088554370033	1.9561793353577406	-1.242885640058006	0.8639775905731097	0.08114421355193362
SC_15-20	-3.479503056273904	18.390246391579225	12.850152	12.035071	3.8638039176313947	-4.715573240190363	4.0502525438766614	3.4711816825009407	-1.3721000171152054	1.095621569077501	0.4807878323462997
SC_25-30	-46.46356096774604	-33.41164879170855	14.306025	9.82784	3.887331310157169	0.2712266561412304	4.292357254205496	3.2720075203913974	-0.2905769127813937	1.1957920711460588	0.857747431198476
SC_25-30	-46.45178447139286	4.748569370913407	15.331517	11.239484	4.1531207570465	1.9150389822594929	3.9583415196831666	2.971850996105321	-1.0176198749366154	0.9585188441349405	-0.884274192586631
SC_20-25	55.42105149411774	-25.642955137038935	12.455591	8.55486	3.6250091100350916	0.9543173022312607	3.6977704310751767	2.3907951466265103	-4.715573240190363	0.7566358886193951	0.2572557893776351
SC_20-25	-32.470687797394625	26.260345152074244	13.521077	11.923738	4.1111964648322274	1.6053234259858649	4.242378924723327	3.477586297203812	-4.715573240190363	1.152769924421166	0.08248388803029269
SC_15-20	51.00509925463475	51.01357259321021	11.998933	10.03137	3.7902774679658906	1.956387832591829	4.302427748273895	3.3162189832858773	-4.715573240190363	0.7920049898426798	-0.1935567454330135
SC_15-20	-32.421725921854595	27.75424671323453	13.78586	12.41579	4.1032614554907525	-4.715573240190363	4.419701582773346	3.7188085205609505	-1.3541432226179366	1.1838116841805435	0.4432876645451772
SC_25-30	-60.05515013332507	-23.669480312568624	14.998517	10.476939	3.9766160774027237	1.4945630998398176	4.244562082746844	3.4861632901791686	-1.8283777714215865	0.9595865248377632	0.6068076212079807
SC_25-30	-30.8391840087509	-32.30221017112968	14.579868	9.413486	3.963146821188078	0.5885540121304431	4.3677320095091146	3.319883918920984	-1.0125344885192666	1.0163155457391286	0.6924068658044724
SC_20-25	-57.41211189415998	-6.919711228264561	15.234165	11.068826	4.061791860685994	1.705898394806329	4.561623172566225	3.665642752944496	-1.5813652133699638	1.1649114901191164	0.8694466079317142
SC_20-25	-20.467157120804533	29.44200886885866	13.595283	11.974976	4.114564274750386	1.6643426640003254	4.309893771991087	3.4526963088890494	-1.88280458526022	1.1222524619086078	0.22446466561944442
